id,first_name,last_name,country,age,birth_year,height,weight
72297,Steffen,Oberkircher,GER,,,,
72300,Joshua,Fritz,GER,,,,
72330,Bastian,Schröder,GER,,,,
72333,Benjamin,Germann,GER,,,,
72336,Daniel,Zeigermann,GER,,,,
72342,Antonio,Tamayo,GER,,,,
72345,Niklas,Lehne,GER,,,,
72348,Kai,Kramer,GER,,,,
72351,Paul,Kramer,GER,,,,
72357,Jan,Hoffmann,GER,,,,
72360,David,Frohnhoefer,GER,,,180 cm,70 kg
72366,Silke,Kramer,GER,,,,
72369,Karen,Tullios,GER,,,,
72372,Fiona,Krug,GER,,,,
72375,Marieke,Multhaupt,GER,,,,
72393,Jonas,Stillemunkes,GER,17,2003,,
72396,Jana,Kaul,GER,19,2001,,
72402,Fanny,Hensel,GER,14,2006,,
72405,Alexandr,Mezyaev,RUS,17,2003,,
72417,Nathalie,Rüb,GER,14,2006,,
72420,Antonia,Müller ,GER,16,2004,,
72426,Ehsan,Delfaniyan,IRI,29,1991,,
72438,Ilya,Taldykin,BLR,20,2000,,
72444,Emilio,Gomez,PHI,29,1991,,
72450,Ditier,Stricker,GER,,,,
72456,Christophe,Ney,GER,,,,
72459,Robin,Oberlé,GER,,,,
72465,Dominik,Gilberg,GER,,,,
72468,Tobias,Schilly,GER,,,,
72474,Fabrizio,Vinciprova,GER,,,,
72477,Laura,Wilmes,GER,,,,
72483,Claudia,Seck,GER,,,,
72486,ria,Grindel,GER,,,,
72492,Lucas Christian,Trandafir,GER,12,2008,,
72498,Carmen,Hotopp,GER,,,,
72507,Alessandro,Neri,ITA,57,1963,,
72513,Jasmin,Westrich,GER,,,,
72522,HYEWON,JOO,KOR,18,2002,156 cm,56 kg
72528,Amy,Blaas,GER,14,2005,,
72546,Benji,Fieker,GER,,,,
72549,Richard,Fieker,GER,,,,
72552,Chris,Fieker,GER,,,,
72567,Larkin,Morris,GER,,,,
72588,Ariel,Roiz,ISR,16,2004,,
72591,Yoav,Arieli,ISR,17,2003,,
